batch value control marker flagged_batch batch_effect cols type
PTLG030 2.4977498054504395 Unstim_Control_2 CD66 none 0 #AEAEAE EMD
PTLG031 2.0458498001098633 IFNa_LPS_Control_1 CD66 none 0 #AEAEAE EMD
PTLG031 1.9094997644424438 IFNa_LPS_Control_2 CD66 none 0 #AEAEAE EMD
PTLG031 1.5369000434875488 Unstim_Control_1 CD66 none 0 #AEAEAE EMD
PTLG031 1.9170501232147217 Unstim_Control_2 CD66 none 0 #AEAEAE EMD
PTLG032 1.7053500413894653 IFNa_LPS_Control_1 CD66 none 0 #AEAEAE EMD
PTLG032 1.6076499223709106 IFNa_LPS_Control_2 CD66 none 0 #AEAEAE EMD
PTLG032 1.2156999111175537 Unstim_Control_1 CD66 none 0 #AEAEAE EMD
PTLG032 1.4643999338150024 Unstim_Control_2 CD66 none 0 #AEAEAE EMD
PTLG033 2.5851497650146484 IFNa_LPS_Control_1 CD66 none 0 #AEAEAE EMD
PTLG033 3.022599935531616 IFNa_LPS_Control_2 CD66 PTLG033 1 #8E000C EMD
PTLG033 1.669600009918213 Unstim_Control_1 CD66 none 0 #AEAEAE EMD
PTLG033 2.3837502002716064 Unstim_Control_2 CD66 none 0 #AEAEAE EMD
PTLG034 2.211250066757202 IFNa_LPS_Control_1 CD66 none 0 #AEAEAE EMD
PTLG034 1.8055999279022217 IFNa_LPS_Control_2 CD66 none 0 #AEAEAE EMD
PTLG034 2.240299940109253 Unstim_Control_1 CD66 none 0 #AEAEAE EMD
PTLG034 2.0464999675750732 Unstim_Control_2 CD66 none 0 #AEAEAE EMD
PTLG021 0.8099499344825745 IFNa_LPS_Control_1 CD7 none 0 #AEAEAE EMD
PTLG021 0.9638500213623047 IFNa_LPS_Control_2 CD7 none 0 #AEAEAE EMD
PTLG021 0.7566999793052673 Unstim_Control_1 CD7 none 0 #AEAEAE EMD
PTLG021 0.7310998439788818 Unstim_Control_2 CD7 none 0 #AEAEAE EMD
PTLG025 0.8762003779411316 IFNa_LPS_Control_1 CD7 none 0 #AEAEAE EMD
PTLG025 0.8701999187469482 IFNa_LPS_Control_2 CD7 none 0 #AEAEAE EMD
PTLG025 0.9108502864837646 Unstim_Control_1 CD7 none 0 #AEAEAE EMD
PTLG025 0.6536499857902527 Unstim_Control_2 CD7 none 0 #AEAEAE EMD
PTLG026 1.6255499124526978 IFNa_LPS_Control_1 CD7 none 0 #AEAEAE EMD
PTLG026 1.5620501041412354 IFNa_LPS_Control_2 CD7 none 0 #AEAEAE EMD
PTLG026 1.7072499990463257 Unstim_Control_1 CD7 none 0 #AEAEAE EMD
PTLG026 1.9426004886627197 Unstim_Control_2 CD7 none 0 #AEAEAE EMD
PTLG027 1.2931002378463745 IFNa_LPS_Control_1 CD7 none 0 #AEAEAE EMD
PTLG027 1.0601998567581177 IFNa_LPS_Control_2 CD7 none 0 #AEAEAE EMD
PTLG027 1.540250539779663 Unstim_Control_1 CD7 none 0 #AEAEAE EMD
